Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
HS,2017,201712,December 2017,6,1,2,Exports,826,United Kingdom,,579,Norway,,,,,,,,,950611,Skis; for snow,0,,,,,,40,,4146,,,0
HS,2017,201712,December 2017,6,1,2,Exports,826,United Kingdom,,604,Peru,,,,,,,,,950611,Skis; for snow,0,,,,,,30,,1488,,,0
HS,2017,201712,December 2017,6,1,2,Exports,826,United Kingdom,,757,Switzerland,,,,,,,,,950611,Skis; for snow,0,,,,,,483,,11049,,,0
HS,2017,201712,December 2017,6,1,2,Exports,826,United Kingdom,,784,United Arab Emirates,,,,,,,,,950611,Skis; for snow,0,,,,,,2,,4057,,,0
HS,2017,201712,December 2017,6,1,2,Exports,826,United Kingdom,,804,Ukraine,,,,,,,,,950611,Skis; for snow,0,,,,,,34,,2460,,,0
HS,2017,201712,December 2017,6,1,2,Exports,826,United Kingdom,,682,Saudi Arabia,,,,,,,,,950611,Skis; for snow,0,,,,,,54,,5362,,,0
HS,2017,201712,December 2017,6,1,2,Exports,826,United Kingdom,,699,India,,,,,,,,,950611,Skis; for snow,0,,,,,,112,,2419,,,0
HS,2017,201712,December 2017,6,1,2,Exports,826,United Kingdom,,704,Viet Nam,,,,,,,,,950611,Skis; for snow,0,,,,,,11,,1527,,,0
HS,2017,201712,December 2017,6,1,2,Exports,826,United Kingdom,,634,Qatar,,,,,,,,,950611,Skis; for snow,0,,,,,,4,,6077,,,0
HS,2017,201703,March 2017,6,1,2,Exports,826,United Kingdom,,372,Ireland,,,,,,,,,950611,Skis; for snow,0,,,,,,205,,20723,,,0
HS,2017,201703,March 2017,6,1,2,Exports,826,United Kingdom,,381,Italy,,,,,,,,,950611,Skis; for snow,0,,,,,,11,,523,,,0
HS,2017,201703,March 2017,6,1,2,Exports,826,United Kingdom,,56,Belgium,,,,,,,,,950611,Skis; for snow,0,,,,,,14,,64,,,0
HS,2017,201703,March 2017,6,1,2,Exports,826,United Kingdom,,0,World,,,,,,,,,950611,Skis; for snow,0,,,,,,11686,,247146,,,0
HS,2017,201703,March 2017,6,1,2,Exports,826,United Kingdom,,36,Australia,,,,,,,,,950611,Skis; for snow,0,,,,,,3260,,31831,,,0
HS,2017,201703,March 2017,6,1,2,Exports,826,United Kingdom,,276,Germany,,,,,,,,,950611,Skis; for snow,0,,,,,,68,,4441,,,0
HS,2017,201703,March 2017,6,1,2,Exports,826,United Kingdom,,251,France,,,,,,,,,950611,Skis; for snow,0,,,,,,68,,4748,,,0
HS,2017,201703,March 2017,6,1,2,Exports,826,United Kingdom,,724,Spain,,,,,,,,,950611,Skis; for snow,0,,,,,,40,,1741,,,0
HS,2017,201703,March 2017,6,1,2,Exports,826,United Kingdom,,757,Switzerland,,,,,,,,,950611,Skis; for snow,0,,,,,,220,,13378,,,0
HS,2017,201703,March 2017,6,1,2,Exports,826,United Kingdom,,842,United States of America,,,,,,,,,950611,Skis; for snow,0,,,,,,685,,24400,,,0
HS,2017,201702,February 2017,6,1,1,Imports,826,United Kingdom,,554,New Zealand,,,,,,,,,950611,Skis; for snow,0,,,,,,17,,1798,,,0
HS,2017,201702,February 2017,6,1,1,Imports,826,United Kingdom,,124,Canada,,,,,,,,,950611,Skis; for snow,0,,,,,,38,,4968,,,0
HS,2017,201702,February 2017,6,1,1,Imports,826,United Kingdom,,842,United States of America,,,,,,,,,950611,Skis; for snow,0,,,,,,38,,3790,,,0
HS,2017,201712,December 2017,6,1,2,Exports,826,United Kingdom,,642,Romania,,,,,,,,,950611,Skis; for snow,0,,,,,,4,,194,,,0
HS,2017,201712,December 2017,6,1,2,Exports,826,United Kingdom,,300,Greece,,,,,,,,,950611,Skis; for snow,0,,,,,,3,,239,,,0
HS,2017,201712,December 2017,6,1,2,Exports,826,United Kingdom,,208,Denmark,,,,,,,,,950611,Skis; for snow,0,,,,,,3,,261,,,0
HS,2017,201712,December 2017,6,1,2,Exports,826,United Kingdom,,196,Cyprus,,,,,,,,,950611,Skis; for snow,0,,,,,,6,,916,,,0
HS,2017,201712,December 2017,6,1,2,Exports,826,United Kingdom,,56,Belgium,,,,,,,,,950611,Skis; for snow,0,,,,,,12,,409,,,0
HS,2017,201712,December 2017,6,1,2,Exports,826,United Kingdom,,40,Austria,,,,,,,,,950611,Skis; for snow,0,,,,,,17,,751,,,0
HS,2017,201702,February 2017,6,1,1,Imports,826,United Kingdom,,724,Spain,,,,,,,,,950611,Skis; for snow,0,,,,,,63,,2271,,,0
HS,2017,201702,February 2017,6,1,1,Imports,826,United Kingdom,,276,Germany,,,,,,,,,950611,Skis; for snow,0,,,,,,417,,4902,,,0
HS,2017,201702,February 2017,6,1,1,Imports,826,United Kingdom,,528,Netherlands,,,,,,,,,950611,Skis; for snow,0,,,,,,3281,,27550,,,0
HS,2017,201702,February 2017,6,1,1,Imports,826,United Kingdom,,381,Italy,,,,,,,,,950611,Skis; for snow,0,,,,,,48,,1903,,,0
HS,2017,201702,February 2017,6,1,1,Imports,826,United Kingdom,,40,Austria,,,,,,,,,950611,Skis; for snow,0,,,,,,1518,,58538,,,0
HS,2017,201702,February 2017,6,1,1,Imports,826,United Kingdom,,203,Czech Rep.,,,,,,,,,950611,Skis; for snow,0,,,,,,46,,1388,,,0
HS,2017,201702,February 2017,6,1,1,Imports,826,United Kingdom,,56,Belgium,,,,,,,,,950611,Skis; for snow,0,,,,,,923,,37687,,,0
HS,2017,201702,February 2017,6,1,1,Imports,826,United Kingdom,,251,France,,,,,,,,,950611,Skis; for snow,0,,,,,,10599,,501070,,,0
HS,2017,201702,February 2017,6,1,1,Imports,826,United Kingdom,,0,World,,,,,,,,,950611,Skis; for snow,0,,,,,,17062,,649467,,,0
HS,2017,201711,November 2017,6,1,2,Exports,826,United Kingdom,,842,United States of America,,,,,,,,,950611,Skis; for snow,0,,,,,,14377,,181936,,,0
HS,2017,201711,November 2017,6,1,2,Exports,826,United Kingdom,,381,Italy,,,,,,,,,950611,Skis; for snow,0,,,,,,42,,898,,,0
HS,2017,201711,November 2017,6,1,2,Exports,826,United Kingdom,,528,Netherlands,,,,,,,,,950611,Skis; for snow,0,,,,,,45,,1294,,,0
HS,2017,201711,November 2017,6,1,2,Exports,826,United Kingdom,,372,Ireland,,,,,,,,,950611,Skis; for snow,0,,,,,,831,,17204,,,0
HS,2017,201711,November 2017,6,1,2,Exports,826,United Kingdom,,344,"China, Hong Kong SAR",,,,,,,,,950611,Skis; for snow,0,,,,,,197,,20148,,,0
HS,2017,201711,November 2017,6,1,2,Exports,826,United Kingdom,,124,Canada,,,,,,,,,950611,Skis; for snow,0,,,,,,17,,3267,,,0
HS,2017,201711,November 2017,6,1,2,Exports,826,United Kingdom,,203,Czech Rep.,,,,,,,,,950611,Skis; for snow,0,,,,,,18,,416,,,0
HS,2017,201711,November 2017,6,1,2,Exports,826,United Kingdom,,276,Germany,,,,,,,,,950611,Skis; for snow,0,,,,,,97,,1661,,,0
HS,2017,201711,November 2017,6,1,2,Exports,826,United Kingdom,,251,France,,,,,,,,,950611,Skis; for snow,0,,,,,,34,,952,,,0
